,DATE,TMIN,TMAX,duration,count
0,2018-01-01,-7.0,3.0,249267,375
1,2018-01-02,-10.0,7.0,981397,1633
2,2018-01-03,7.0,18.0,1376291,2483
3,2018-01-04,2.0,13.0,1334085,2406
4,2018-01-05,0.0,12.0,1185644,2222
5,2018-01-06,-1.0,17.0,636221,1090
6,2018-01-07,8.0,33.0,684721,1074
7,2018-01-08,30.0,37.0,2849815,4648
8,2018-01-09,28.0,34.0,3076286,5140
9,2018-01-10,31.0,56.0,3224330,5160
10,2018-01-11,23.0,60.0,2869983,4461
11,2018-01-12,16.0,24.0,1788005,3228
12,2018-01-13,8.0,18.0,823469,1416
13,2018-01-14,7.0,22.0,723293,1204
14,2018-01-15,9.0,24.0,781351,1331
15,2018-01-16,6.0,25.0,1727812,2837
16,2018-01-17,5.0,21.0,2192896,3335
17,2018-01-18,17.0,33.0,2571734,4122
18,2018-01-19,28.0,40.0,2871927,4739
19,2018-01-20,33.0,47.0,3206957,3945
20,2018-01-21,39.0,48.0,2104364,2810
21,2018-01-22,37.0,55.0,3062941,4890
22,2018-01-23,29.0,38.0,2481569,4134
23,2018-01-24,27.0,31.0,2842356,4914
24,2018-01-25,26.0,44.0,3831056,5935
25,2018-01-26,37.0,52.0,4562699,6705
26,2018-01-27,37.0,51.0,4788042,5147
27,2018-01-28,30.0,42.0,2055990,2972
28,2018-01-29,18.0,32.0,2494405,4351
29,2018-01-30,15.0,31.0,2791778,4932
30,2018-01-31,31.0,44.0,3457033,5814
31,2018-02-01,9.0,36.0,2531772,4422
32,2018-02-02,5.0,22.0,1877990,3346
33,2018-02-03,22.0,42.0,1314338,2088
34,2018-02-04,7.0,35.0,414908,659
35,2018-02-05,-1.0,12.0,1383921,2128
36,2018-02-06,6.0,22.0,1829342,2859
37,2018-02-07,12.0,21.0,1754602,2834
38,2018-02-08,9.0,22.0,2001933,3203
39,2018-02-09,22.0,29.0,553710,694
40,2018-02-10,17.0,26.0,677041,842
41,2018-02-11,13.0,24.0,652068,672
42,2018-02-12,4.0,29.0,2077284,2681
43,2018-02-13,17.0,36.0,2747734,3755
44,2018-02-14,28.0,46.0,3155897,4615
45,2018-02-15,38.0,48.0,3594982,5291
46,2018-02-16,20.0,38.0,3390070,5012
47,2018-02-17,17.0,36.0,1334305,1957
48,2018-02-18,20.0,42.0,1773138,2241
49,2018-02-19,39.0,60.0,1929978,3025
50,2018-02-20,34.0,66.0,1859379,3069
51,2018-02-21,29.0,34.0,3240597,5166
52,2018-02-22,31.0,41.0,3623212,5713
53,2018-02-23,35.0,45.0,3594841,5520
54,2018-02-24,35.0,51.0,2522748,2995
55,2018-02-25,34.0,52.0,3512395,3583
56,2018-02-26,29.0,55.0,5621992,7696
57,2018-02-27,41.0,62.0,7368561,9305
58,2018-02-28,38.0,60.0,5041531,7527
59,2018-03-01,33.0,44.0,2560790,3991
60,2018-03-02,31.0,46.0,4599034,6497
61,2018-03-03,35.0,43.0,4467643,4476
62,2018-03-04,32.0,47.0,4621625,4331
63,2018-03-05,34.0,42.0,3134704,5105
64,2018-03-06,33.0,42.0,3275867,5369
65,2018-03-07,26.0,35.0,3480663,5524
66,2018-03-08,24.0,36.0,3691342,5615
